Corrida,Beneficio,PromedioTiempoEnCola,TasaDeAtencion,PorcentajeTiempoLibre,UtilizacionEmpleada
149,128700.0000,1.4198,15.5000,23.73,8.38
150,102150.0000,1.4652,12.1250,34.81,10.49
151,97650.0000,0.5247,12.7500,44.56,5.10
152,126000.0000,2.0642,16.5000,26.95,10.03
153,87450.0000,0.7777,11.7500,48.03,6.64
154,112950.0000,3.1999,13.2500,23.40,16.02
155,126900.0000,3.2816,16.7500,20.28,14.62
156,119850.0000,0.9281,15.5000,31.90,6.20
157,104400.0000,1.9907,13.8750,32.37,10.93
158,98850.0000,0.9704,12.7500,36.90,7.55
159,112500.0000,2.2970,13.5000,36.57,12.76
160,118800.0000,1.8168,15.3750,27.52,9.81
161,134100.0000,1.9856,16.2500,24.66,9.94
162,119250.0000,2.3248,15.1250,25.88,12.16
163,123600.0000,1.4980,16.3750,25.39,8.21
164,113100.0000,1.3588,14.1250,30.94,8.74
165,109500.0000,3.0984,13.8750,25.83,15.10
166,106350.0000,1.2017,14.3750,31.37,7.84
167,85350.0000,0.4273,11.2500,44.66,5.04
168,116850.0000,2.0352,16.0000,21.37,10.58
169,125700.0000,2.6866,15.0000,22.70,13.88
170,95850.0000,1.1090,13.8750,27.82,7.53
171,103200.0000,0.5687,13.1250,35.81,5.49
172,96600.0000,1.0577,12.2500,32.68,7.91
173,108750.0000,2.3996,14.8750,19.39,12.92
174,122250.0000,1.7744,16.3750,25.96,9.23
175,105750.0000,1.4070,13.8750,31.56,9.06
176,124200.0000,2.8886,16.8750,13.78,12.39
177,104550.0000,1.0602,13.7500,33.01,7.16
178,135750.0000,1.4729,17.3750,28.74,7.59
179,116400.0000,3.2720,15.7500,17.60,15.61
180,111300.0000,1.1737,14.6250,27.68,7.79
181,101850.0000,0.8126,13.0000,32.89,6.87
182,108600.0000,1.2945,13.7500,32.22,8.61
183,94500.0000,1.0239,12.7500,35.69,7.71
184,110700.0000,0.7972,15.3750,30.02,5.85
185,104250.0000,1.0754,14.0000,34.52,7.46
186,128550.0000,1.6435,16.6250,20.84,8.81
187,129750.0000,1.9689,17.6250,18.82,9.35
188,136500.0000,9.1362,17.0000,4.50,34.59
189,137700.0000,3.1645,17.1250,11.97,14.18
190,130350.0000,1.9498,16.2500,25.19,10.04
